,molecule_chembl_id,IC50,units,smiles,pIC50
580,CHEMBL2177632,14.4,nM,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3ccccn23)nn1,7.84163750790475
581,CHEMBL4872654,14.7,nM,Cc1nc(Nc2ncc(C(=O)Nc3cccnc3C)s2)cc(N2CCN(CCO)CC2)n1,7.8326826652518236
582,CHEMBL4109626,15.0,nM,CO[C@@H]1CN(c2ncc(C(=O)Nc3ccc(OC(F)(F)F)cc3)cc2-c2cncnc2)C[C@H]1O,7.823908740944319
583,CHEMBL1171473,15.0,nM,Cc1ccc(C(=O)Nc2ccc(CN3CC[C@H](N(C)C)C3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,7.823908740944319
584,CHEMBL2324930,15.0,nM,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,7.823908740944319
585,CHEMBL2347714,15.3,nM,CCNC(=O)Nc1nc2cc(OC)c(-c3ccccc3OC)cc2s1,7.815308569182401
586,CHEMBL459877,15.8,nM,Cc1cccc(C)c1/C=C/n1cnc2c(Nc3ccc(P(C)(C)=O)cc3)nc(C(C)C)nc21,7.801342913045577
587,CHEMBL4111182,16.0,nM,CC(C)(C)Oc1ccc(NC(=O)c2cnc(N3CC[C@@H](O)C3)c(-c3cncnc3)c2)cc1,7.795880017344075
588,CHEMBL3896686,16.0,nM,CCN(CCO)c1ncc(C(=O)Nc2ccc(SC(F)(F)F)cc2)cc1-c1cncc(C#N)c1,7.795880017344075
589,CHEMBL3915619,16.0,nM,Cc1ccc(-c2cc(C(=O)Nc3ccc(OC(F)(F)F)cc3)cnc2N2CCC(C(C)(C)O)C2)cn1,7.795880017344075
590,CHEMBL454868,16.7,nM,CP(C)(=O)c1ccc(Nc2ncnc3c2ncn3/C=C/c2cccc3[nH]ccc23)cc1,7.777283528852417
591,CHEMBL2347736,16.9,nM,CCNC(=O)Nc1nc2ccc(-c3ccccc3C)cc2[nH]1,7.772113295386326
592,CHEMBL3936455,17.0,nM,Cc1ccc(-c2cc(C(=O)Nc3ccc(OC(F)(F)F)cc3)ccc2N2C[C@H](O)[C@@H](O)C2)cn1,7.769551078621726
593,CHEMBL4109873,17.0,nM,Cc1ccc(-c2cc(C(=O)Nc3ccc(OC(F)(F)F)cc3)cnc2N2CCC[C@@H](O)C2)cn1,7.769551078621726
594,CHEMBL1241768,17.0,nM,Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2[C@@H]1CCOC1,7.769551078621726
595,CHEMBL4877718,17.16,nM,Cc1cccc(F)c1-c1ccc2nc(NC(=O)[C@@H]3C[C@@H]3F)sc2c1,7.7654827164873135
596,CHEMBL1784637,17.2,nM,CNC(=O)c1ncc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(CCO)CC4)c(C(F)(F)F)c3)ccc2C)n1C,7.764471553092451
597,CHEMBL454872,17.3,nM,CCCP(=O)(CCC)c1ccc(Nc2ncnc3c2ncn3/C=C/c2c(C)cccc2C)cc1,7.761953896871205
598,CHEMBL1784635,17.4,nM,CNC(=O)c1ncc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)n1C,7.7594507517174005
599,CHEMBL454873,17.6,nM,Cc1cccc(C)c1/C=C/n1cnc2c(Nc3ccc(P(C)(C)=O)cc3)nc(N(C)C)nc21,7.75448733218585
600,CHEMBL4869199,17.7,nM,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cncc3Cl)s2)cc(N2CCN(CCO)CC2)n1,7.752026733638194
601,CHEMBL1171657,18.0,nM,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]cnc2c1,7.7447274948966935
602,CHEMBL2178269,18.0,nM,Cc1ccc(C(=O)Nc2ccc(CN3CCC(N4CCN(C)CC4)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ncc3c2)nn1,7.7447274948966935
603,CHEMBL1081312,18.0,nM,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,7.7447274948966935
